text,section,header,div,p,s,id
"Autoregressive modeling was then performed for each IBI time series using Kubios software (Niskanen et al., 2004) to identify a peak in the power spectrum in the HF-HRV range (0.15-0.4 Hz) for each participant, which was subsequently used to extract sinusoidal variation in heart rate (HF-HRV) at the participant's most prominent frequency.",method,EKG processing,6,1,6,09567976241235932
"Deviations from a uniform distribution were quantified with the MI, with higher values (ranging between 0 and 1) indicating systematic variance in EEG power over HF-HRV phase bins and, therefore, reflecting PAC.",method,Phase-amplitude coupling,8,2,5,09567976241235932
"Several previous studies have employed Granger causality or similar methods to examine directional interactions between EEG and heart rate, raw EKG, or HRV power time series.",discussion,Directional effects between cardiac and neural activity,15,1,1,09567976241235932
"However, one study showed that HF-HRV power changes preceded changes in the delta band during sleep ( Jurysta et al., 2003), and another showed stronger heart-to-brain interactions during an emotion elicitation paradigm (Candia-Rivera et al., 2022).",discussion,Directional effects between cardiac and neural activity,15,1,3,09567976241235932
Processing steps for a representative study participant. (a) Interbeat interval (IBI) time series in real time. (b) Autoregressive power spectrum of IBI time series.,fig,Fig. 2 .Fig. 3 .,2,NA,3,09567976241235932
"For Experiment 1, we aimed for a convenience sample of 600 participants to ensure sufficient statistical power (α > .90) to detect small-to-medium-sized interaction effects in the present design (Cohen, 1992; see Text S5 in the Supplemental Material).",method,Method,6,1,2,09567976241239932
"To provide sufficient statistical power (α > .90) to detect small-to-medium-sized interaction effects in the present design (Cohen, 1992), we aimed for a convenience sample of 300 participants (see Text S5 in the Supplemental Material).",method,Method,11,1,2,09567976241239932
"To provide sufficient statistical power (α > .90) to detect small-to-medium-sized effects in the present design (Cohen, 1992), we aimed for a convenience sample of 500 participants.",method,Method,15,1,2,09567976241239932
"For Experiments 4a and 4b, we each aimed for a convenience sample of 600 participants to ensure sufficient statistical power (α > .90) to detect small-to-mediumsized effects in the respective experiment designs (Cohen, 1992).",method,Method,19,1,1,09567976241239932
"Furthermore, we examined four types of network homophily that, despite representing different intergroup relationships (e.g., in terms of power or type of contact) yielded the same results for this indirect effect.",discussion,Discussion,14,3,4,09567976241243370
A post hoc power analysis confirmed that we had a power of 0.84 to detect a medium effect.,method,Statement of Relevance,4,2,4,09567976241245695
"We did not base our target sample size on formal power analyses, partly because we had very different predictions for the effects of ValenceDiff and Frame.",method,Design,10,3,1,09567976241249183
It did not seem reasonable to chase power for an effect size near zero.,method,Design,10,3,5,09567976241249183
"Nonetheless, subsequent simulation-based power analyses (Kumle et al., 2021) that were not based in any way on our observed data indicated that we had substantial power for detecting very small (d = 0.10) or small (d = 0.20) effects in our primary model for predicting participants' choices (see the Supplemental Material).",method,Design,10,4,1,09567976241249183
"With 900 participants (our target), power was .999 for a very small effect of ValenceDiff and .96 for a small residual effect of Frame.",method,Design,10,4,2,09567976241249183
"With 500 participants (slightly fewer than in our student sample), power was .97 for a very small effect of ValenceDiff and .81 for a small effect of Frame.",method,Design,10,4,3,09567976241249183
"Obtaining power greater than .80 for a very small effect of Frame would have required more than 2,000 participants.",method,Design,10,4,4,09567976241249183
"For tests involving only two of the 18 cells, power was lower but still acceptable in many cases.",method,Design,10,5,1,09567976241249183
"For the standard framing effect (L6-G4, target n = 90), power was .94 for the Many Labs effect size (d = 0.60; Klein et al., 2014) and .84 for a medium effect (d = 0.50).",method,Design,10,5,2,09567976241249183
"Obviously, power estimates for tests involving such small subsets of the data are less important than those for the primary analysis.",method,Design,10,5,3,09567976241249183
"Hostile sexism comprises overtly negative beliefs, characterizing women as manipulative, power-hungry, and oversensitive.",abstract,Abstract,0,2,2,09567976241254312
"directly enforces norms of men's power (Bareket & Fiske, 2023), fostering discrimination against powerful women (Masser & Abrams, 2004) and opposition to genderbased policies (Hideg & Ferris, 2013).",intro,[div-01],1,1,1,09567976241254312
"In contrast, the patronizing content of benevolent sexism indirectly enforces men's power through gender-role norms (Bareket & Fiske, 2023), undermining women's career aspirations (Kuchynka et al., 2017) and willingness to challenge gender inequality (Becker & Wright, 2011;Hammond & Sibley, 2011).",intro,[div-01],1,1,2,09567976241254312
"Benevolent sexism is theorized to facilitate intimacy, whereas hostile sexism maintains men's power.",intro,Sexism and Intimacy,3,1,3,09567976241254312
"However, this power dynamic allows the punitive effects of benevolent to manifest within such relationships.",intro,Statement of Relevance,4,3,4,09567976241254312
"For example, benevolent sexism promotes women's acceptance of their partner's autocratic behavior (Moya et al., 2007) and predicts beliefs that normalize men's power over their partners (Chen et al., 2009).",intro,Statement of Relevance,4,3,5,09567976241254312
"In addition to testing these two opposing associations, we also assessed hostile sexism, which we expected to be positively related to tolerance of both outsider and spousal violence, consistent with its overt enforcement of men's power (Bareket & Fiske, 2023).",intro,Sexism in Context,5,3,6,09567976241254312
"The three items measuring hostile sexism were ""Women are too easily offended,"" ""Women seek to gain power by controlling men,"" and ""In a fair competition, if women lose to men, they usually complain about being discriminated against.""",method,Measures,10,3,9,09567976241254312
We did not conduct an a priori power analysis.,results,Analysis plan,13,1,1,09567976241254312
"Because of the extremely large sample size, we determined that there was adequate power to detect the hypothesized effects, and we selected a more conservative critical alpha of p = .01.",results,Analysis plan,13,1,2,09567976241254312
"As expected, hostile sexism was related to greater tolerance of both outsider violence and spousal violence (see Agadullina et al., 2022), consistent with its function of directly enforcing men's power (Bareket & Fiske, 2023).",discussion,Discussion,17,1,2,09567976241254312
Our results provide new evidence for a central proposition of ambivalent sexism theory: Hostile and benevolent sexism have distinct consequences that perpetuate men's societal power.,discussion,Discussion,17,2,1,09567976241254312
Hostile sexism reinforces such power with overt aggression.,discussion,Discussion,17,2,2,09567976241254312
"Although the disempowering effects of benevolent sexism are well documented, the implications for women's power within relationships are underresearched (Hammond & Overall, 2017).",discussion,Discussion,17,3,1,09567976241254312
It can legitimize men's power over women directly-at least within the traditional relationships that are prevalent in non-WEIRD societies such as India.,discussion,Discussion,17,3,5,09567976241254312
High statistical power also meant that our estimates of the hypothesized associations were very precise.,discussion,Discussion,17,4,3,09567976241254312
"Our team of coders was not large enough to code, by hand, a quarter million tweets, so we took steps to identify a subset that was more feasible for our coders, with the additional goal of maximizing their hit rates for engaging and dismissing tweets, which in turn would maximize the power of our analyses.",method,Method,10,4,8,09567976241258149
This provided 80% power to detect differences between engaging and dismissing-d = 0.38 (Study 1a) and d = 0.47 (Study 1b).,method,Method,10,9,3,09567976241258149
"Study 2a participants provided two observations, and 2b participants six; in each case we targeted 1,200 total observations (preregistration links noted in the open practices section provide a priori power analyses justifying this sample size).",method,Method,14,2,1,09567976241258149
"We initially targeted 240 participants-160 representing the majority who rarely or never react to politicians' tweets, and 80 of the more unusual participants who frequently do so (for a priori power analyses justifying this sample size, see the preregistration).",method,Method,18,2,4,09567976241258149
Sensitivity analyses indicated we had over 95% power to detect even small effects (d = 0.22).,method,Method,25,2,4,09567976241258149
"The modest sample size in our experiments might not guarantee adequate power for relating the magnitude of the effect of statistical learning on conscious access to individual participants' awareness of the regularities (Vadillo et al., 2020).",method,Procedure,7,5,3,09567976241263344
"As mentioned above, the results here provide only weak evidence for the level of awareness of the regularity of the participants and need to be interpreted with caution because of the limitations of the methods (e.g., lack of statistical power).",results,The subjective-awareness ratings,11,1,3,09567976241263344
"Again, these findings provide only weak evidence for the absence of a relation between awareness of the regularity and conscious access, and they should be approached with caution because of the methodological constraints (e.g., lack of statistical power).",results,The subjective-awareness ratings,16,1,3,09567976241263344
"After reviewing the effect size (Cohen's d = 0.34) of a previous study that used the bias-free b-CFS paradigm to measure conscious access (Litwin et al., 2023), we concluded that a sample of 55 participants was needed for an experimental power of 80% with an alpha level of 0.05 for a planned one-tailed paired-samples t test (power calculation performed in G*Power).",method,Participants,18,1,1,09567976241263344
Our power analysis indicated that a sample of 42 participants per age group would provide 80% power to detect differences in group means (α = .05).,intro,Statement of Relevance,2,1,12,09567976241263347
"However, the achieved sample is still powered (77%) to detect a medium-sized effect (0.55), so we moved our stopping rule to 35 (our obtained sample) prior to data analysis.",intro,Statement of Relevance,2,1,14,09567976241263347
"This power analysis indicated that a sample size of 60 participants per age group would allow for at least 80% power to detect group differences at the standard alpha error probability of .05; however, we did not reach our full child-sample goal because of COVID-19.",intro,Participants,5,2,2,09567976241263347
The sample size for Experiment 2 was selected according to a simulation-based bootstrap power analysis so as to give in excess of 95% power to detect a betweenparticipants effect size estimated from permuted data from Experiment 1 (estimated between-participants Cohen's d = 0.63).,method,Participants,6,3,2,09567976241266516
"As part of the a priori power analyses that we performed when planning Experiment 2, we also calculated the betweenparticipants Cohen's d for Experiment 1 (between-participants d = 0.63).",annex,Supplemental Material,18,2,3,09567976241266516
"With a sample size of 20, the power was 100%.",method,Justification for sample size,4,1,4,09567976241279291
